third_item,dataset,kappa,sens,spec,acc
q3 수면,NHANES(미국),0.889,0.875,0.965,0.846
q3 수면,Zenodo(중국),0.865,0.855,0.981,0.878
q3 수면,KNHANES(한국),0.855,0.878,0.971,0.86
q4 피로,NHANES(미국),0.884,0.883,0.963,0.837
q4 피로,Zenodo(중국),0.853,0.847,0.981,0.867
q4 피로,KNHANES(한국),0.851,0.888,0.968,0.854
q5 식욕,NHANES(미국),0.891,0.842,0.973,0.855
q5 식욕,Zenodo(중국),0.87,0.828,0.985,0.886
q5 식욕,KNHANES(한국),0.862,0.836,0.979,0.875
q6 자책감,NHANES(미국),0.886,0.811,0.976,0.853
q6 자책감,Zenodo(중국),0.864,0.841,0.983,0.879
q6 자책감,KNHANES(한국),0.86,0.815,0.982,0.878
q7 집중력,NHANES(미국),0.889,0.821,0.977,0.856
q7 집중력,Zenodo(중국),0.867,0.841,0.984,0.883
q7 집중력,KNHANES(한국),0.856,0.78,0.984,0.879
q8 정신운동,NHANES(미국),0.883,0.784,0.981,0.857
q8 정신운동,Zenodo(중국),0.867,0.77,0.99,0.889
q8 정신운동,KNHANES(한국),0.852,0.761,0.986,0.879
q9 자살사고,NHANES(미국),0.875,0.735,0.985,0.854
q9 자살사고,Zenodo(중국),0.864,0.737,0.993,0.889
q9 자살사고,KNHANES(한국),0.853,0.768,0.985,0.879
