dataset,item,label,item_rest_r,auc,endorse_rate
nhanes,q1,q1 흥미상실,0.602,0.877,0.276
nhanes,q2,q2 우울기분,0.692,0.906,0.265
nhanes,q3,q3 수면,0.557,0.871,0.409
nhanes,q4,q4 피로,0.619,0.895,0.525
nhanes,q5,q5 식욕,0.557,0.849,0.273
nhanes,q6,q6 자책감,0.629,0.846,0.196
nhanes,q7,q7 집중력,0.576,0.841,0.194
nhanes,q8,q8 정신운동,0.492,0.762,0.115
nhanes,q9,q9 자살사고,0.409,0.639,0.041
zenodo,q1,q1 흥미상실,0.674,0.878,0.471
zenodo,q2,q2 우울기분,0.699,0.864,0.429
zenodo,q3,q3 수면,0.629,0.885,0.36
zenodo,q4,q4 피로,0.742,0.909,0.434
zenodo,q5,q5 식욕,0.634,0.876,0.288
zenodo,q6,q6 자책감,0.674,0.9,0.334
zenodo,q7,q7 집중력,0.607,0.865,0.29
zenodo,q8,q8 정신운동,0.551,0.795,0.144
zenodo,q9,q9 자살사고,0.47,0.749,0.076
knhanes,q1,q1 흥미상실,0.504,0.833,0.23
knhanes,q2,q2 우울기분,0.637,0.899,0.189
knhanes,q3,q3 수면,0.494,0.875,0.341
knhanes,q4,q4 피로,0.562,0.895,0.424
knhanes,q5,q5 식욕,0.515,0.833,0.188
knhanes,q6,q6 자책감,0.557,0.838,0.128
knhanes,q7,q7 집중력,0.448,0.731,0.08
knhanes,q8,q8 정신운동,0.424,0.686,0.046
knhanes,q9,q9 자살사고,0.495,0.753,0.062
